com.samsung.health.food_info,6320001,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
1379.84,261.03467,45.11,,145.20001,MyFitnessPal Lunch,,100002-Wed Jan 04 00:00:00 GMT+09:00 2023,0,701.77997,7.068,17.0294,2023-01-05 10:33:38.396,2023-01-05 10:33:38.396,2.1317601,63.030205,2.2445402,10.637767,MyFitnessPal Lunch,28.431398,,13.43,789.22,,,P2bFQ7/2cI,,2.34896,0.0,com.myfitnesspal.android,52.351196,,abdfa9bb-6ee2-40d3-ad88-b21e9fec1b91,,
0.0,80.0,20.0,,0.0,MyFitnessPal Dinner,,100003-Wed Jan 04 00:00:00 GMT+09:00 2023,0,2350.0,2.0,19.0,2023-01-05 10:33:38.424,2023-01-05 10:33:38.424,0.0,87.8,0.0,17.0,MyFitnessPal Dinner,39.6,,6.0,961.0,,,P2bFQ7/2cI,,7.2,0.0,com.myfitnesspal.android,94.9,,3af8c610-5e87-4e55-b4c8-ddf7e8f27f41,,
1289.84,261.03467,45.11,,160.20001,MyFitnessPal Lunch,,100002-Thu Jan 05 00:00:00 GMT+09:00 2023,0,831.77997,8.068,19.5294,2023-01-06 15:33:04.296,2023-01-06 15:33:04.296,2.1317601,69.030205,1.7445401,20.748878,MyFitnessPal Lunch,28.431398,,18.43,916.22,,,P2bFQ7/2cI,,3.34896,0.0,com.myfitnesspal.android,104.3512,,972a08dc-3d2f-4a3c-b427-d1f7eab93c5f,,
250.0,0.0,0.0,,50.0,MyFitnessPal Snacks,,100005-Thu Jan 05 00:00:00 GMT+09:00 2023,0,200.0,1.0,6.0,2023-01-06 15:33:04.347,2023-01-06 15:33:04.347,0.0,24.0,0.5,2.0,MyFitnessPal Snacks,12.0,,8.0,466.0,,,P2bFQ7/2cI,,2.9,0.0,com.myfitnesspal.android,20.0,,3ec958b0-011e-4d90-ae0d-cdfcae2901e2,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Thu Jan 05 00:00:00 GMT+09:00 2023,0,926.0,17.0,14.9,2023-01-06 15:33:04.376,2023-01-06 15:33:04.376,0.0,36.5,0.0,0.0,MyFitnessPal Dinner,10.0,,0.0,604.0,,,P2bFQ7/2cI,,3.7,0.0,com.myfitnesspal.android,84.1,,283da675-45ae-4c60-b7b2-c3f933a3e5b3,,
1004.83997,30.034672,25.109999,,160.20001,MyFitnessPal Lunch,,100002-Wed Jan 11 00:00:00 GMT+09:00 2023,0,789.77997,5.068,18.429401,2023-01-11 09:57:48.989,2023-01-11 09:57:48.989,2.1317601,74.8302,1.7445401,7.7488766,MyFitnessPal Lunch,24.431398,,16.43,681.22003,,,P2bFQ7/2cI,,3.3489602,0.0,com.myfitnesspal.android,54.9512,,05f8df05-59e9-447a-a58d-64a1bf36ee1e,,
0.0,0.0,0.0,,25.0,MyFitnessPal Snacks,,100005-Wed Jan 11 00:00:00 GMT+09:00 2023,0,283.0,0.0,24.0,2023-01-11 09:57:49.007,2023-01-11 09:57:49.007,0.0,13.0,0.0,0.0,MyFitnessPal Snacks,29.0,,0.0,685.23706,,,P2bFQ7/2cI,,8.700001,0.5,com.myfitnesspal.android,48.0,,a08a34ad-d318-4641-9004-87865c3e2b5f,,
0.0,0.0,0.0,0.0,60.0,,,aa11f6b0-e976-4b22-b16d-49197198dd1e,1,120.0,0.0,2.0,2026-04-18 20:55:11.337,2023-01-10 07:39:47.306,0.0,48.0,0.0,0.0,,2.0,0.0,0.0,240.0,,meal_mirrored,P2bFQ7/2cI,120001,1.0,0.0,com.google.android.apps.fitness,0.0,0.004166667,aa11f6b0-e976-4b22-b16d-49197198dd1e,1,
0.0,0.0,0.0,0.0,0.0,,,d8190645-0c0e-48db-800e-1a3c1d58dad0,1,0.0,0.0,0.0,2026-04-18 20:55:11.363,2023-01-10 07:39:47.310,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1440.0,,meal_mirrored,P2bFQ7/2cI,120001,0.0,0.0,com.google.android.apps.fitness,0.0,6.9444446E-4,d8190645-0c0e-48db-800e-1a3c1d58dad0,1,
0.0,0.0,0.0,0.0,35.0,,,6f84ec80-c05b-4036-a001-01fdef8434f5,1,230.0,1.0,2.0,2026-04-18 20:55:11.378,2023-01-10 07:39:47.298,0.0,24.0,0.0,0.0,,1.0,0.0,0.0,120.0,,meal_mirrored,P2bFQ7/2cI,120001,1.5,0.0,com.google.android.apps.fitness,0.0,0.008333334,6f84ec80-c05b-4036-a001-01fdef8434f5,1,
0.0,0.0,0.0,0.0,48.0,,,59a0d14b-4d42-4157-8b8a-f109d94e0e69,1,1772.0,2.3,16.2,2026-04-18 20:55:11.384,2023-01-10 07:39:47.297,0.0,19.7,0.0,0.0,,6.9,0.0,0.0,353.0,,meal_mirrored,P2bFQ7/2cI,120001,3.4,0.0,com.google.android.apps.fitness,0.0,0.0028328612,59a0d14b-4d42-4157-8b8a-f109d94e0e69,1,
0.0,0.0,0.0,0.0,2.5,,,75ccd81d-c108-40ac-bd62-025a8ada4b16,1,75.0,0.0,0.0,2026-04-18 20:55:11.393,2023-01-10 07:39:47.277,0.0,5.0,0.0,0.0,,9.0,0.0,0.0,70.0,,meal_mirrored,P2bFQ7/2cI,120001,0.0,0.0,com.google.android.apps.fitness,0.0,0.014285714,75ccd81d-c108-40ac-bd62-025a8ada4b16,1,
0.0,0.0,0.0,0.0,0.0,,,f7cb26c0-1aed-4770-8a97-3a67e75ea6ff,1,1.1,3.0,0.3,2026-04-18 20:55:11.401,2023-01-10 07:39:47.268,0.0,1.2,0.0,0.0,,14.4,0.0,0.0,105.0,,meal_mirrored,P2bFQ7/2cI,120001,0.1,0.0,com.google.android.apps.fitness,0.0,0.00952381,f7cb26c0-1aed-4770-8a97-3a67e75ea6ff,1,
