com.samsung.health.movement,6320001,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-19 20:01:00.000,,d2dfe5f8-ae72-473d-bc13-73396e27ef09.binning_data.json,62800471,2024-12-19 21:02:00.575,2024-12-19 20:21:46.709,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-19 20:59:59.999,d2dfe5f8-ae72-473d-bc13-73396e27ef09,
62800471,2024-12-19 21:00:00.000,,6faf4d88-1667-4e17-ab49-0569c6a2f433.binning_data.json,62800471,2024-12-19 22:02:20.279,2024-12-19 21:02:00.659,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-19 21:59:59.999,6faf4d88-1667-4e17-ab49-0569c6a2f433,
62800471,2024-12-19 22:00:00.000,,a62704cf-ffcc-42b3-adb7-cf30ad339350.binning_data.json,62800471,2024-12-19 23:02:38.602,2024-12-19 22:02:20.394,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-19 22:59:59.999,a62704cf-ffcc-42b3-adb7-cf30ad339350,
62800471,2024-12-19 23:00:00.000,,855399e2-ba76-40a3-a3c2-a75a0f29fb7f.binning_data.json,62800471,2024-12-20 00:02:57.392,2024-12-19 23:02:38.630,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-19 23:59:59.999,855399e2-ba76-40a3-a3c2-a75a0f29fb7f,
62800471,2024-12-20 00:00:00.000,,6666e54c-275a-4a6e-bd8b-63a89723e031.binning_data.json,62800471,2024-12-20 01:03:16.212,2024-12-20 00:02:57.403,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 00:59:59.999,6666e54c-275a-4a6e-bd8b-63a89723e031,
62800471,2024-12-20 01:00:00.000,,bc5dd243-acb7-4391-9541-1b394b04a1c3.binning_data.json,62800471,2024-12-20 02:03:34.972,2024-12-20 01:03:16.316,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 01:59:59.999,bc5dd243-acb7-4391-9541-1b394b04a1c3,
62800471,2024-12-20 02:00:00.000,,b9971c7e-7427-44a3-b10f-7f6a7b94e8d6.binning_data.json,62800471,2024-12-20 03:03:54.169,2024-12-20 02:03:35.052,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 02:59:59.999,b9971c7e-7427-44a3-b10f-7f6a7b94e8d6,
62800471,2024-12-20 03:00:00.000,,521954d3-3e99-4b0e-a6e0-66289cc5e34c.binning_data.json,62800471,2024-12-20 04:04:12.946,2024-12-20 03:03:54.241,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 03:59:59.999,521954d3-3e99-4b0e-a6e0-66289cc5e34c,
62800471,2024-12-20 04:00:00.000,,0da2535a-dcf0-4b65-8342-ef5300163d7f.binning_data.json,62800471,2024-12-20 05:04:31.715,2024-12-20 04:04:12.954,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 04:59:59.999,0da2535a-dcf0-4b65-8342-ef5300163d7f,
62800471,2024-12-20 05:00:00.000,,f3f1c0ba-5695-4627-8756-9f72d029c96a.binning_data.json,62800471,2024-12-20 06:04:49.843,2024-12-20 05:04:31.724,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 05:59:59.999,f3f1c0ba-5695-4627-8756-9f72d029c96a,
62800471,2024-12-20 06:00:00.000,,414fc217-7483-476f-a07b-8eed517e1d5f.binning_data.json,62800471,2024-12-20 07:05:08.723,2024-12-20 06:04:49.873,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 06:59:59.999,414fc217-7483-476f-a07b-8eed517e1d5f,
62800471,2024-12-20 07:00:00.000,,41fc1f95-4d8a-4fcd-9aa5-6901047f459d.binning_data.json,62800471,2024-12-20 08:05:27.119,2024-12-20 07:05:08.731,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 07:59:59.999,41fc1f95-4d8a-4fcd-9aa5-6901047f459d,
62800471,2024-12-20 08:00:00.000,,abf35b3e-33b2-4e1e-bff6-ae35dc4cf66d.binning_data.json,62800471,2024-12-20 09:05:45.752,2024-12-20 08:05:27.141,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 08:59:59.999,abf35b3e-33b2-4e1e-bff6-ae35dc4cf66d,
62800471,2024-12-20 09:00:00.000,,d4b8bee7-3d1e-4a33-832c-ced715038c5f.binning_data.json,62800471,2024-12-20 10:06:04.786,2024-12-20 09:05:45.772,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 09:59:59.999,d4b8bee7-3d1e-4a33-832c-ced715038c5f,
62800471,2024-12-20 10:00:00.000,,e8f087d2-195b-4fb8-ad96-da26df875611.binning_data.json,62800471,2024-12-20 11:06:23.638,2024-12-20 10:06:04.816,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 10:59:59.999,e8f087d2-195b-4fb8-ad96-da26df875611,
62800471,2024-12-20 11:00:00.000,,29e297f3-2b66-4587-b37c-33f233858d2b.binning_data.json,62800471,2024-12-20 12:06:40.726,2024-12-20 11:06:23.662,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 11:59:59.999,29e297f3-2b66-4587-b37c-33f233858d2b,
62800471,2024-12-20 12:00:00.000,,e8040ab5-4458-4e3b-bac5-7481fc24740c.binning_data.json,62800471,2024-12-20 13:06:58.706,2024-12-20 12:06:40.752,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 12:59:59.999,e8040ab5-4458-4e3b-bac5-7481fc24740c,
62800471,2024-12-20 13:00:00.000,,af0f39d9-9445-4fca-af5b-8e452ac2e857.binning_data.json,62800471,2024-12-20 14:07:18.128,2024-12-20 13:06:58.737,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 13:59:59.999,af0f39d9-9445-4fca-af5b-8e452ac2e857,
62800471,2024-12-20 14:00:00.000,,de57c569-1fa8-4e28-996b-5ed9d5139030.binning_data.json,62800471,2024-12-20 15:07:37.450,2024-12-20 14:07:18.137,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 14:59:59.999,de57c569-1fa8-4e28-996b-5ed9d5139030,
62800471,2024-12-20 15:00:00.000,,9484c5cf-ae92-41dd-90e1-407c0dcdc75b.binning_data.json,62800471,2024-12-20 16:07:56.760,2024-12-20 15:07:37.472,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 15:59:59.999,9484c5cf-ae92-41dd-90e1-407c0dcdc75b,
62800471,2024-12-20 16:00:00.000,,55f978ae-5aac-4aed-8a29-cb2fc2b8093d.binning_data.json,62800471,2024-12-20 17:08:15.933,2024-12-20 16:07:56.788,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 16:59:59.999,55f978ae-5aac-4aed-8a29-cb2fc2b8093d,
62800471,2024-12-20 17:00:00.000,,e5da32e4-32f4-4839-8d33-040837216d73.binning_data.json,62800471,2024-12-20 18:08:35.486,2024-12-20 17:08:15.947,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 17:59:59.999,e5da32e4-32f4-4839-8d33-040837216d73,
62800471,2024-12-20 18:00:00.000,,ba391490-f800-4482-9e3e-8d0c6de26cb0.binning_data.json,62800471,2024-12-20 19:08:55.140,2024-12-20 18:08:35.497,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 18:59:59.999,ba391490-f800-4482-9e3e-8d0c6de26cb0,
62800471,2024-12-20 19:00:00.000,,a708bae9-60bd-4ec9-82fb-4c0d3e7d2d80.binning_data.json,62800471,2024-12-20 20:09:14.562,2024-12-20 19:08:55.160,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 19:59:59.999,a708bae9-60bd-4ec9-82fb-4c0d3e7d2d80,
62800471,2024-12-20 20:00:00.000,,8440ff8d-4040-4d16-87ee-5488d93cfc55.binning_data.json,62800471,2024-12-20 21:09:34.124,2024-12-20 20:09:14.575,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 20:59:59.999,8440ff8d-4040-4d16-87ee-5488d93cfc55,
62800471,2024-12-20 21:00:00.000,,77386e64-5d26-4fa2-856f-dac514ab278a.binning_data.json,62800471,2024-12-20 22:09:53.591,2024-12-20 21:09:34.182,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 21:59:59.999,77386e64-5d26-4fa2-856f-dac514ab278a,
62800471,2024-12-20 22:00:00.000,,6b88f3cc-046c-4892-bee8-4ea13d774a5e.binning_data.json,62800471,2024-12-20 23:08:10.741,2024-12-20 22:09:53.614,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 22:59:59.999,6b88f3cc-046c-4892-bee8-4ea13d774a5e,
62800471,2024-12-20 23:00:00.000,,fae2f19d-28df-456b-a17b-4bf94a38120c.binning_data.json,62800471,2024-12-20 23:08:10.789,2024-12-20 23:08:10.789,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-20 23:10:59.999,fae2f19d-28df-456b-a17b-4bf94a38120c,
62800471,2024-12-21 01:24:00.000,,2548b67d-1d52-44ca-9a14-6ae0749c80bb.binning_data.json,62800471,2024-12-21 02:04:39.227,2024-12-21 01:44:33.247,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 01:59:59.999,2548b67d-1d52-44ca-9a14-6ae0749c80bb,
62800471,2024-12-21 02:00:00.000,,8f5a9f2c-918e-4927-bfda-bcd4d66999ae.binning_data.json,62800471,2024-12-21 03:04:57.506,2024-12-21 02:04:39.259,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 02:59:59.999,8f5a9f2c-918e-4927-bfda-bcd4d66999ae,
62800471,2024-12-21 03:00:00.000,,42ffc94a-c956-4a58-a427-bee9d58959f2.binning_data.json,62800471,2024-12-21 04:06:11.319,2024-12-21 03:04:57.579,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 03:59:59.999,42ffc94a-c956-4a58-a427-bee9d58959f2,
62800471,2024-12-21 04:00:00.000,,9d8f6db1-f54f-4e16-b416-67021693bc00.binning_data.json,62800471,2024-12-21 05:06:29.321,2024-12-21 04:06:11.331,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 04:59:59.999,9d8f6db1-f54f-4e16-b416-67021693bc00,
62800471,2024-12-21 05:00:00.000,,4f41b0f1-3359-4450-a98a-09c542930476.binning_data.json,62800471,2024-12-21 06:06:48.179,2024-12-21 05:06:29.339,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 05:59:59.999,4f41b0f1-3359-4450-a98a-09c542930476,
62800471,2024-12-21 06:00:00.000,,214510dc-ea10-4a50-a7f0-49803461b69b.binning_data.json,62800471,2024-12-21 07:07:07.104,2024-12-21 06:06:48.197,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 06:59:59.999,214510dc-ea10-4a50-a7f0-49803461b69b,
62800471,2024-12-21 07:00:00.000,,9dc0a1c6-ddf1-4fba-bb02-b9baac9ab28b.binning_data.json,62800471,2024-12-21 08:07:25.866,2024-12-21 07:07:07.185,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2024-12-21 07:59:59.999,9dc0a1c6-ddf1-4fba-bb02-b9baac9ab28b,
