com.samsung.shealth.badge,6320001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-07-17 15:00:00.000,,100003,1,,2023-07-23 17:41:49.584,2023-07-23 17:41:49.584,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC+0900,7746.921545267105,sLWoup9uSz,com.sec.android.app.shealth,,tracker.pedometer,2023-07-17 15:00:00.000,160abb4d-c998-4431-ad7d-c7a6efdfdd65,
,2023-07-26 01:04:16.230,,,1,,2023-07-25 16:04:16.237,2023-07-25 16:04:16.237,,sleep_goal_first_sleep,,,UTC+0000,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2023-07-26 01:04:16.230,bbbec4f7-ea55-41c9-93cf-f641e12c622d,
,2023-08-23 15:00:00.000,,100003,1,,2023-08-24 11:17:00.982,2023-08-24 11:17:00.982,com.sec.android.app.shealth,step_milestone_20k_steps,,,UTC+0900,15576.320118427277,sLWoup9uSz,com.sec.android.app.shealth,,tracker.pedometer,2023-08-23 15:00:00.000,2375d0df-1df0-447a-ba05-7d8200bb4d93,
1,2024-07-07 15:00:00.000,,,1,,2024-07-07 23:18:53.837,2024-07-07 23:18:53.837,,sleep_good_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-07-08 14:59:59.999,901527b5-b9d0-498d-b24f-33b06da70099,
0,1970-01-01 00:00:00.000,,,0,,2026-04-17 15:50:31.751,2024-07-23 22:45:13.475,,sleep_3_days_streak,,,UTC+0900,"1776524399999,1",4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2026-04-18 14:59:59.999,cede98d4-89a5-4136-b0d7-1a6eb00d59c9,
1,2024-07-25 15:00:00.000,,,1,,2024-07-25 23:10:54.324,2024-07-25 23:10:54.324,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-07-26 14:59:59.999,b9bcc59a-bb56-4b82-b40b-663617d68350,
1,2024-07-27 15:00:00.000,,,1,,2024-07-28 00:58:31.051,2024-07-28 00:58:31.051,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-07-28 14:59:59.999,5c78d6cb-3b2f-469d-b980-25686c16b451,
1,2024-08-01 15:00:00.000,,,1,,2024-08-01 22:29:44.316,2024-08-01 22:29:44.316,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-08-02 14:59:59.999,1207a109-c25e-4ddc-ab5c-b418db776d0c,
1,2024-08-10 15:00:00.000,,,1,,2024-08-11 00:56:34.687,2024-08-11 00:56:34.687,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-08-11 14:59:59.999,bd48775e-34d1-4045-8d6d-8abbeae56f2c,
1,2024-08-17 15:00:00.000,,,1,,2024-08-18 00:35:50.840,2024-08-18 00:35:50.840,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-08-18 14:59:59.999,38f3417c-4e43-4ee7-b538-3e8656b32138,
1,2024-08-27 15:00:00.000,,,1,,2024-08-28 00:03:47.185,2024-08-28 00:03:47.185,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-08-28 14:59:59.999,83d99f64-951c-407c-a735-7a76f49f3712,
1,2024-09-03 15:00:00.000,,,1,,2024-09-04 00:03:57.469,2024-09-04 00:03:57.469,,sleep_excellent_sleep,,,UTC+0900,,sLWoup9uSz,com.sec.android.app.shealth,,Sleep.Goal,2024-09-04 14:59:59.999,434980f3-f6d4-4b8f-9355-f5b3c41baf74,
1,2024-09-14 15:00:00.000,,,1,,2024-09-15 00:58:15.294,2024-09-15 00:58:15.294,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-09-15 14:59:59.999,391c3d28-d4a8-44d6-a79f-afda266e98c7,
1,2024-09-30 15:00:00.000,,,1,,2024-09-30 23:44:10.078,2024-09-30 23:44:10.078,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-10-01 14:59:59.999,996641a8-8b77-4063-834a-a2df2b6f421c,
1,2024-10-02 15:00:00.000,,,1,,2024-10-03 00:04:41.293,2024-10-03 00:04:41.293,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-10-03 14:59:59.999,06d8138e-de94-4b02-abdd-42b6d8dccd10,
1,2024-10-23 15:00:00.000,,,1,,2024-10-24 00:23:11.463,2024-10-24 00:23:11.463,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-10-24 14:59:59.999,56de7fe1-4b34-41fa-a80a-a85d16fe916f,
1,2024-11-05 15:00:00.000,,,1,,2024-11-05 23:40:22.362,2024-11-05 23:40:22.362,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-11-06 14:59:59.999,d07b265b-c5ba-4526-87ec-d9d521a75d02,
1,2024-11-08 15:00:00.000,,,1,,2024-11-08 23:22:36.585,2024-11-08 23:22:36.585,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-11-09 14:59:59.999,9769611a-7cc9-4510-b362-9d0dc1bdbff2,
1,2024-11-30 15:00:00.000,,,1,,2024-12-01 00:29:14.027,2024-12-01 00:29:14.027,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-12-01 14:59:59.999,e4a3560b-41b5-4ac3-bc2d-ade40ccb4afb,
1,2024-12-03 15:00:00.000,,,1,,2024-12-03 23:19:40.658,2024-12-03 23:19:40.658,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-12-04 14:59:59.999,b99a6351-de86-41ca-9285-fc4c74c7e3b4,
1,2024-12-10 15:00:00.000,,,1,,2024-12-10 23:15:03.157,2024-12-10 23:15:03.157,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-12-11 14:59:59.999,f3af54ba-2bec-49e1-a365-acb8412454e7,
1,2024-12-14 15:00:00.000,,,1,,2024-12-14 23:25:49.306,2024-12-14 23:25:49.306,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-12-15 14:59:59.999,da1dcd80-cf1b-4c8a-a29f-54d3bbece2a9,
1,2024-12-29 15:00:00.000,,,1,,2024-12-29 23:11:43.074,2024-12-29 23:11:43.074,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2024-12-30 14:59:59.999,73105e69-62e6-4729-8f10-79503dcff144,
1,2025-01-13 15:00:00.000,,,1,,2025-01-13 23:02:00.375,2025-01-13 23:02:00.375,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-14 14:59:59.999,cea7831b-8568-4810-8f9c-38c6f8eaaea7,
,2025-01-14 00:00:00.000,,,1,,2025-01-14 13:19:46.257,2025-01-14 13:19:46.257,,vitality_first_measure,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-01-14 00:00:00.000,a6c79561-13ed-4783-b41b-18779f2fc057,
,2025-01-14 00:00:00.000,,,1,,2025-01-14 13:19:46.275,2025-01-14 13:19:46.275,,vitality_good,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-01-14 00:00:00.000,146e7971-c078-4254-b21e-037f998d3406,
1,2025-01-15 15:00:00.000,,,1,,2025-01-15 23:25:31.569,2025-01-15 23:25:31.569,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-16 14:59:59.999,e4645fb6-2ca5-4321-9268-696ef4b6be15,
1,2025-01-17 15:00:00.000,,,1,,2025-01-17 23:38:15.357,2025-01-17 23:38:15.357,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-18 14:59:59.999,ef38a589-bf11-42bd-bd47-1ba5f732a267,
1,2025-01-18 15:00:00.000,,,1,,2025-01-18 23:15:28.600,2025-01-18 23:15:28.600,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-19 14:59:59.999,9784d25b-ad5c-4f75-9c1d-95d66bd6de29,
1,2025-01-23 15:00:00.000,,,1,,2025-01-23 23:05:25.819,2025-01-23 23:05:25.819,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-24 14:59:59.999,f945128e-74ba-49b6-8f24-4dad2a42b5f9,
1,2025-01-25 15:00:00.000,,,1,,2025-01-26 00:29:46.456,2025-01-26 00:29:46.456,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-26 14:59:59.999,7f1eef45-86e7-44d7-9f68-623f7651ab0a,
1,2025-01-26 15:00:00.000,,,1,,2025-01-26 23:44:35.083,2025-01-26 23:44:35.083,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-27 14:59:59.999,760c2120-95dd-4fe0-b9f5-0ebd7e2c138c,
1,2025-01-30 15:00:00.000,,,1,,2025-01-30 22:38:07.024,2025-01-30 22:38:07.024,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-31 14:59:59.999,f0833363-0690-4fd1-9c0e-ff265fc46ceb,
1,2025-02-10 15:00:00.000,,,1,,2025-02-10 23:17:29.440,2025-02-10 23:17:29.440,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-02-11 14:59:59.999,02b2035f-7325-41bd-be87-6b2ead79cee0,
1,2025-02-18 15:00:00.000,,,1,,2025-02-18 23:30:34.823,2025-02-18 23:30:34.823,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-02-19 14:59:59.999,a24a9086-fe2c-416d-87c5-4517ca06bb20,
