com.samsung.shealth.exercise.weather,6320001,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2016-05-01 11:49:43.236,37.881336,,WSW. 248.0,Mostly clear,0,0,AccuWeather,2016-05-01 11:49:43.238,2016-05-01 11:49:43.238,1,127.7123,63.0,61,UTC+0900,uVwC9SChYX,057710ba-abc1-4fd1-9e19-bccd7813e174,com.sec.android.app.shealth,mi/h,0,3.3,10,c2eae2d1-9971-4769-b2cb-d76659c60ac8,
0.0,0,2016-05-23 13:27:37.544,37.54906,,N. 0.0,Cloudy,0,0,AccuWeather,2016-05-23 13:27:37.545,2016-05-23 13:27:37.545,1,126.917595,66.0,63,UTC+0900,uVwC9SChYX,cfa4383c-7791-4f6a-9bca-e35735b01e01,com.sec.android.app.shealth,mi/h,0,3.5,20,333b07d3-0a7d-43ad-9bb4-f6279d145965,
0.0,0,2016-05-28 09:26:38.338,37.525898,,WNW. 293.0,Mostly sunny,0,0,AccuWeather,2016-05-28 09:26:38.341,2016-05-28 09:26:38.341,1,127.00119,75.0,36,UTC+0900,uVwC9SChYX,a5449d86-201d-4105-84a3-b423e149e8d2,com.sec.android.app.shealth,mi/h,0,11.1,1,52769fab-dc25-43f1-a313-a407e1094bf4,
0.0,0,2016-06-04 13:19:51.502,37.498055,,W. 270.0,Mostly cloudy,0,0,AccuWeather,2016-06-04 13:19:51.503,2016-06-04 13:19:51.503,1,127.02913,66.0,65,UTC+0900,uVwC9SChYX,f8ecca11-7f0e-4d9f-bcfc-3953a83703f4,com.sec.android.app.shealth,mi/h,0,4.6,20,b3ed2981-6ae1-422c-aef9-fb47e16a8089,
0.0,0,2016-06-04 16:28:23.666,37.550716,,W. 270.0,Clear,0,0,AccuWeather,2016-06-04 16:28:23.667,2016-06-04 16:28:23.667,1,126.92204,63.0,82,UTC+0900,uVwC9SChYX,a38d8900-c073-45aa-be0d-65581dcc01b4,com.sec.android.app.shealth,mi/h,0,3.5,10,a1e22189-3ba7-45c0-90cf-ed486f539a29,
0.0,0,2016-06-05 14:06:38.591,37.549553,,W. 270.0,Clear,0,0,AccuWeather,2016-06-05 14:06:38.594,2016-06-05 14:06:38.594,1,126.920166,72.0,56,UTC+0900,uVwC9SChYX,d2540bc4-24a7-4505-bdc2-80d940478456,com.sec.android.app.shealth,mi/h,0,1.2,10,7880621f-4565-47e8-a7d9-73c651c3dbfe,
0.0,0,2016-06-07 16:24:42.584,37.571495,,WSW. 248.0,Clear,0,0,AccuWeather,2016-06-07 16:24:42.586,2016-06-07 16:24:42.586,1,126.848404,66.0,77,UTC+0900,uVwC9SChYX,420315b1-9f8a-4bf3-9f64-17df26a75347,com.sec.android.app.shealth,mi/h,0,3.5,10,374d985f-5e4f-4f0b-9f32-341ca385f4df,
0.0,0,2016-06-08 09:19:29.745,37.484695,,W. 270.0,Partly sunny,0,0,AccuWeather,2016-06-08 09:19:29.746,2016-06-08 09:19:29.746,1,126.89885,73.0,56,UTC+0900,uVwC9SChYX,cf98c733-be3c-465a-aff5-f24632209c7e,com.sec.android.app.shealth,mi/h,0,8.1,4,e94e1829-b879-45f9-9de2-4f28827d6f6e,
0.0,0,2016-06-09 13:15:26.265,37.504562,,WNW. 293.0,Clear,0,0,AccuWeather,2016-06-09 13:15:26.274,2016-06-09 13:15:26.274,1,127.035164,72.0,56,UTC+0900,uVwC9SChYX,16f1956f-65b4-417e-83b0-de89ad43fdf7,com.sec.android.app.shealth,mi/h,0,9.2,10,09608788-7aeb-43bc-b8b5-c554304f88e6,
0.0,0,2016-07-03 05:43:37.709,35.64683,,SE. 135.0,Partly sunny,0,0,AccuWeather,2016-07-03 05:43:37.712,2016-07-03 05:43:37.712,1,139.74594,81.0,78,UTC+0900,uVwC9SChYX,18c5e7ba-839b-44ba-9114-c3e1c01b5095,com.sec.android.app.shealth,mi/h,0,18.4,4,80aef6c2-bddd-4f33-9875-bf4b3ea3c5d7,
0.0,0,2016-07-03 10:13:07.940,35.62708,,S. 180.0,Partly sunny,0,0,AccuWeather,2016-07-03 10:13:07.943,2016-07-03 10:13:07.943,1,139.77908,81.0,78,UTC+0900,uVwC9SChYX,682cbf88-7f44-4173-ae35-4e01df511875,com.sec.android.app.shealth,mi/h,0,15.0,4,f137ff81-6c81-4b12-81d1-2ee5593c29a9,
0.0,0,2016-07-04 01:06:20.514,35.643448,,NE. 45.0,Partly sunny,0,0,AccuWeather,2016-07-04 01:06:20.520,2016-07-04 01:06:20.520,1,139.73438,84.0,74,UTC+0900,uVwC9SChYX,753314e2-a24a-4cf0-ab39-acf742419c9c,com.sec.android.app.shealth,mi/h,0,4.6,4,b312326f-164f-4491-90c8-04ca33d1abe5,
0.0,0,2016-07-05 07:55:12.399,35.64872,,NE. 45.0,Cloudy,0,0,AccuWeather,2016-07-05 07:55:12.402,2016-07-05 07:55:12.402,1,139.7016,70.0,88,UTC+0900,uVwC9SChYX,4c9185cd-daaf-44fe-9081-788c32015b98,com.sec.android.app.shealth,mi/h,0,15.0,20,d26609da-3888-490f-9cfb-1c392e507cc8,
0.0,0,2016-07-06 06:34:25.417,35.679874,,S. 180.0,Partly sunny,0,0,AccuWeather,2016-07-06 06:34:25.420,2016-07-06 06:34:25.420,1,139.76855,79.0,78,UTC+0900,uVwC9SChYX,2827aa43-5c0f-4977-aa7e-6e50e0677b58,com.sec.android.app.shealth,mi/h,0,21.9,4,30fd0aad-b83a-4419-8a0d-126c5736099e,
0.0,0,2016-07-12 15:27:49.765,37.58043,,NW. 315.0,Clear,0,0,AccuWeather,2016-07-12 15:27:49.766,2016-07-12 15:27:49.766,1,126.83092,75.0,78,UTC+0900,uVwC9SChYX,003ed902-1e04-4816-9bea-54e72a5206e2,com.sec.android.app.shealth,mi/h,0,3.5,10,a9bed37b-543a-4116-a381-0413616bfde8,
0.0,0,2016-07-21 12:26:43.978,37.550907,,S. 180.0,Mostly cloudy,0,0,AccuWeather,2016-07-21 12:26:44.095,2016-07-21 12:26:44.095,1,126.923134,84.0,54,UTC+0900,uVwC9SChYX,c63c0f7f-81de-4ec1-b79c-756c2746572a,com.sec.android.app.shealth,mi/h,0,4.6,20,a77804db-53bd-4f43-a54f-ece2a42b47fc,
0.0,0,2016-07-21 17:23:07.239,37.55891,,SSE. 158.0,Mostly cloudy,0,0,AccuWeather,2016-07-21 17:23:07.244,2016-07-21 17:23:07.244,1,126.85727,81.0,65,UTC+0900,uVwC9SChYX,a1356484-3415-421f-aff9-d1bc1cac6b2d,com.sec.android.app.shealth,mi/h,0,6.9,20,bc9cb231-89bd-41ec-99d4-8266c63c9187,
0.0,0,2016-08-27 13:31:21.735,37.534584,,ENE. 68.0,Mostly cloudy,0,0,AccuWeather,2016-08-27 13:31:21.736,2016-08-27 13:31:21.736,1,126.992455,75.0,38,UTC+0900,uVwC9SChYX,60ed89e5-de72-4908-ae1f-6e42c30d43e4,com.sec.android.app.shealth,mi/h,0,11.5,20,fc91b462-7584-468f-aa1e-a1fd7d150abd,
0.0,0,2016-09-25 12:23:28.622,37.486523,,NW. 315.0,Some clouds,0,0,AccuWeather,2016-09-25 12:23:28.624,2016-09-25 12:23:28.624,1,126.78143,61.0,73,UTC+0900,uVwC9SChYX,b5c61b60-75c9-4e25-b2da-22108aca297f,com.sec.android.app.shealth,mi/h,0,5.3,11,f301ae68-6e8d-4b9d-8c42-9dbb7dac1cf2,
0.0,0,2016-10-15 14:21:51.703,37.539154,,NNW. 338.0,Mostly cloudy,0,0,AccuWeather,2016-10-15 14:21:51.706,2016-10-15 14:21:51.706,1,126.98907,61.0,72,UTC+0900,uVwC9SChYX,6674c7f5-4f35-4a30-a4ee-5a798dfa01ae,com.sec.android.app.shealth,mi/h,0,2.3,20,a0b7ee34-e229-4e0d-a03f-0d0b396ca568,
0.0,0,2016-10-15 16:35:01.915,37.535007,,NW. 315.0,Light fog,0,0,AccuWeather,2016-10-15 16:35:01.917,2016-10-15 16:35:01.917,1,126.992546,61.0,72,UTC+0900,uVwC9SChYX,598375a2-7bb1-4f7b-b6c7-fd41b9dbecf4,com.sec.android.app.shealth,mi/h,0,3.5,13,31091437-11de-4890-81bf-9394c09403eb,
0.0,0,2016-10-27 12:41:07.157,37.539997,,S. 180.0,Clear,0,0,AccuWeather,2016-10-27 12:41:07.160,2016-10-27 12:41:07.160,1,126.89143,61.0,58,UTC+0900,uVwC9SChYX,8057ba4d-5a5c-4ded-afdb-5db97e646bf4,com.sec.android.app.shealth,mi/h,0,3.5,10,07bd0bf8-ac7a-4f8f-98d1-35c1cc9e2a2f,
0.0,0,2016-10-29 21:20:42.355,37.558697,,N. 0.0,Clear,0,0,AccuWeather,2016-10-29 21:20:42.358,2016-10-29 21:20:42.358,1,126.85723,32.0,64,UTC+0900,uVwC9SChYX,5c16333b-decf-4813-885d-91c8ff897382,com.sec.android.app.shealth,mi/h,0,0.0,10,df129dcd-28a5-40d5-9782-4e8165157a2f,
0.0,0,2016-11-02 11:58:28.703,37.534687,,S. 180.0,Light rain,0,0,AccuWeather,2016-11-02 11:58:28.709,2016-11-02 11:58:28.709,1,126.992424,43.0,70,UTC+0900,uVwC9SChYX,ad6070db-bba5-4373-93cb-c75095eaf0b9,com.sec.android.app.shealth,mi/h,0,5.8,9,98f54f4d-3e8d-47b3-be4c-fb52172c22ca,
0.0,0,2016-11-04 21:25:50.219,37.55884,,S. 180.0,Mostly cloudy,0,0,AccuWeather,2016-11-04 21:25:50.223,2016-11-04 21:25:50.223,1,126.85723,55.0,66,UTC+0900,uVwC9SChYX,fafeab20-aea6-41c8-91fe-41cc555235fd,com.sec.android.app.shealth,mi/h,0,5.8,20,f3691865-55f8-47f5-94d9-721bb7fad7e0,
0.0,0,2016-11-11 14:21:23.442,37.53478,,SE. 135.0,Clear,0,0,AccuWeather,2016-11-11 14:21:23.447,2016-11-11 14:21:23.447,1,126.99712,43.0,56,UTC+0900,uVwC9SChYX,873b6ad9-5429-4c7c-a6a2-c3e820d9ae5e,com.sec.android.app.shealth,mi/h,0,6.9,10,b2bbac7a-c2da-4333-bc5c-392314245a8c,
0.0,0,2016-11-19 15:19:50.062,37.550846,,WNW. 293.0,Light fog,0,0,AccuWeather,2016-11-19 15:19:50.066,2016-11-19 15:19:50.066,1,126.92316,55.0,76,UTC+0900,uVwC9SChYX,dedb6431-5afb-49d0-b6e6-2bfe5d716d35,com.sec.android.app.shealth,mi/h,0,9.2,13,c4a8b9d5-8cd1-46a6-8ea9-cd4cca30a059,
0.0,0,2016-12-03 07:50:20.353,37.528755,,NNE. 23.0,Sunny,0,0,AccuWeather,2016-12-03 07:50:20.361,2016-12-03 07:50:20.361,1,126.9649,50.0,40,UTC+0900,uVwC9SChYX,66b085bc-4530-4746-9238-acef4cc5967b,com.sec.android.app.shealth,mi/h,0,2.3,1,33936d16-d2e7-4cb6-ab00-5df7ae6372ed,
0.0,0,2016-12-08 10:44:12.192,37.52717,,S. 180.0,Rain,0,0,AccuWeather,2016-12-08 10:44:12.197,2016-12-08 10:44:12.197,1,126.875015,43.0,60,UTC+0900,uVwC9SChYX,5a8bc389-0af7-453e-b6c5-36661a03420f,com.sec.android.app.shealth,mi/h,0,8.1,7,1699ccdc-c5ae-4db2-a1b1-74a1f01376d9,
0.0,0,2016-12-09 00:23:09.057,37.45132,,NNW. 338.0,Partly sunny,0,0,AccuWeather,2016-12-09 00:23:09.181,2016-12-09 00:23:09.181,1,126.448746,37.0,75,UTC+0900,uVwC9SChYX,a8070981-ace7-4198-9703-4c3f8848f414,com.sec.android.app.shealth,mi/h,0,16.1,4,e2beb285-237e-4ee6-8d5c-b75c1366bff7,
0.0,0,2016-12-31 14:07:10.085,37.535877,,SSW. 203.0,Light fog,0,0,AccuWeather,2016-12-31 14:07:10.089,2016-12-31 14:07:10.089,1,126.97329,36.0,69,UTC+0900,uVwC9SChYX,9fb53675-1dba-4322-8120-a5eeba05f878,com.sec.android.app.shealth,mi/h,0,3.5,13,c4951934-7736-404f-809e-471f9e425696,
0.0,0,2016-12-31 19:34:36.129,37.53521,,SSE. 158.0,Light fog,0,0,AccuWeather,2016-12-31 19:34:36.133,2016-12-31 19:34:36.133,1,126.99851,27.0,79,UTC+0900,uVwC9SChYX,2080d0fb-2a0b-4318-a4aa-33c93643671e,com.sec.android.app.shealth,mi/h,0,4.6,13,4ef42751-72f2-48ea-b2e7-2506545d4006,
0.0,0,2017-01-04 06:24:11.999,37.538944,,WNW. 293.0,Sunny,0,0,AccuWeather,2017-01-04 06:24:12.003,2017-01-04 06:24:12.003,1,126.98865,48.0,27,UTC+0900,uVwC9SChYX,dd702f66-467c-4eef-8020-453472d150f4,com.sec.android.app.shealth,mi/h,0,8.1,1,ef781d58-0062-4d06-9f80-56350f5ef61b,
0.0,0,2017-01-04 08:03:56.930,37.534454,,NNW. 338.0,Sunny,0,0,AccuWeather,2017-01-04 08:03:56.933,2017-01-04 08:03:56.933,1,126.9889,46.0,29,UTC+0900,uVwC9SChYX,997a3324-5ccf-42fb-85aa-220027d3fb91,com.sec.android.app.shealth,mi/h,0,10.4,1,74e804e0-5fa9-4c7d-943a-edfcb5610977,
0.0,0,2017-01-05 15:02:24.556,37.550106,,E. 90.0,Clear,0,0,AccuWeather,2017-01-05 15:02:24.560,2017-01-05 15:02:24.560,1,126.92312,43.0,48,UTC+0900,uVwC9SChYX,36c8ad31-7248-4fab-a189-7f66191b9167,com.sec.android.app.shealth,mi/h,0,12.7,10,2a4525fb-74a0-4be5-a603-448cd95931e8,
0.0,0,2017-01-06 14:20:36.276,37.534946,,NNW. 338.0,Clear,0,0,AccuWeather,2017-01-06 14:20:36.287,2017-01-06 14:20:36.287,1,126.98655,32.0,74,UTC+0900,uVwC9SChYX,ddbf62e5-f314-47d0-8cea-1f76c6b017d3,com.sec.android.app.shealth,mi/h,0,2.3,10,23ab58ce-db14-4443-b201-698b5beb02c3,
0.0,0,2017-01-08 02:12:27.397,37.5225,,N. 0.0,Sunny,0,0,AccuWeather,2017-01-08 02:12:27.400,2017-01-08 02:12:27.400,1,127.039154,43.0,65,UTC+0900,uVwC9SChYX,c1c7c2c4-6ab8-4605-bf1f-daed2829ab58,com.sec.android.app.shealth,mi/h,0,3.5,1,6f620d0d-0e8c-4c49-bf76-2e109198b9d1,
0.0,0,2017-01-11 07:27:06.546,37.536377,,NNW. 338.0,Partly sunny,0,0,AccuWeather,2017-01-11 07:27:06.551,2017-01-11 07:27:06.551,1,126.896904,34.0,27,UTC+0900,uVwC9SChYX,3f0ea0f1-f6bb-4cd3-b319-6ee260116541,com.sec.android.app.shealth,mi/h,0,9.2,4,f58800e8-da93-4939-8642-2ddbb6c4b70c,
0.0,0,2017-01-13 00:08:57.251,37.513435,,NW. 315.0,Mostly cloudy,0,0,AccuWeather,2017-01-13 00:08:57.254,2017-01-13 00:08:57.254,1,127.12657,21.0,38,UTC+0900,uVwC9SChYX,defc2b1e-268a-4aa7-96c8-efe768cad64b,com.sec.android.app.shealth,mi/h,0,3.5,20,2194f0a2-81af-48ae-845e-83fa9a0101fd,
0.0,0,2017-01-13 06:42:24.194,37.527485,,WNW. 293.0,Partly sunny,0,0,AccuWeather,2017-01-13 06:42:24.227,2017-01-13 06:42:24.227,1,127.13633,30.0,31,UTC+0900,uVwC9SChYX,6e4e7ace-66af-4905-94c5-8bdd1eabc432,com.sec.android.app.shealth,mi/h,0,16.1,4,d59d2491-de4f-414e-8ab4-c5426a812d85,
0.0,0,2017-01-16 12:36:08.861,37.549587,,NNE. 23.0,Clear,0,0,AccuWeather,2017-01-16 12:36:08.862,2017-01-16 12:36:08.862,1,126.86375,27.0,54,UTC+0900,uVwC9SChYX,ded919b8-3b5c-46b1-b970-ac2c372a5dfd,com.sec.android.app.shealth,mi/h,0,3.5,10,92220e3e-70a8-4b6a-a752-44454b7b5e8b,
0.0,0,2017-01-22 03:11:36.740,37.56255,,NW. 315.0,Sunny,0,0,AccuWeather,2017-01-22 03:11:36.743,2017-01-22 03:11:36.743,1,126.98403,18.0,41,UTC+0900,uVwC9SChYX,b67591bd-0d63-4df5-8525-03b98b9bad19,com.sec.android.app.shealth,mi/h,0,13.8,1,c13c286d-611d-4983-bd3d-dccd3d762a87,
