com.samsung.shealth.stand_day_summary,6320001,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,2097152,,2019-08-21 12:06:37.449,2019-08-20 19:33:39.423,6fBBpnPaJ6,com.sec.android.app.shealth,916b7a08-0e3b-39d4-1186-8453893349b5,1566345600000,
,131072,,2019-05-23 08:02:57.350,2019-05-22 17:16:57.091,6fBBpnPaJ6,com.sec.android.app.shealth,141c919b-340f-735f-45a7-ea358898f33f,1558569600000,
,0,,2019-05-23 15:00:04.828,2019-05-23 15:00:04.828,6fBBpnPaJ6,com.sec.android.app.shealth,dfa0ecfd-574f-fe10-74b7-19436609a713,1558656000000,
,65536,,2019-05-25 07:36:44.359,2019-05-24 15:04:21.197,6fBBpnPaJ6,com.sec.android.app.shealth,00bcd9db-08b7-48c1-6657-c35ac4db9bc2,1558742400000,
,262144,,2019-05-26 09:51:00.381,2019-05-25 15:00:04.355,6fBBpnPaJ6,com.sec.android.app.shealth,6f67be29-6d02-ce15-0fa0-06ff1aaec892,1558828800000,
,589824,,2019-05-27 10:31:04.152,2019-05-26 15:04:09.430,6fBBpnPaJ6,com.sec.android.app.shealth,805e580f-13b9-3f18-d7b2-6d0f2037062e,1558915200000,
,786432,,2019-05-28 10:20:16.351,2019-05-27 15:00:36.458,6fBBpnPaJ6,com.sec.android.app.shealth,8ff71b40-c7f2-c5b0-f9dc-48ee5232c3a2,1559001600000,
,1605632,,2019-05-29 11:37:59.532,2019-05-28 15:00:06.916,6fBBpnPaJ6,com.sec.android.app.shealth,56080e32-bd92-0fd6-4fe6-ee51cc3fe880,1559088000000,
,786432,,2019-05-30 10:49:26.662,2019-05-29 15:01:05.447,6fBBpnPaJ6,com.sec.android.app.shealth,b48e4875-2fd5-2516-cacd-7588750b9636,1559174400000,
,8716288,,2019-05-31 14:00:06.443,2019-05-30 15:00:10.390,6fBBpnPaJ6,com.sec.android.app.shealth,e7ae3d62-5a46-5023-c0cb-248ec76d2d5c,1559260800000,
,0,,2019-05-31 15:00:50.379,2019-05-31 15:00:50.379,6fBBpnPaJ6,com.sec.android.app.shealth,e2d35ec0-6c39-22a0-1a8d-140518514406,1559347200000,
,0,,2019-06-01 15:00:04.985,2019-06-01 15:00:04.975,6fBBpnPaJ6,com.sec.android.app.shealth,160fcfab-bda7-7ef1-19ec-a37c88627b60,1559433600000,
,4194304,,2019-06-03 13:58:50.571,2019-06-02 15:00:03.984,6fBBpnPaJ6,com.sec.android.app.shealth,3cb5f8b0-5c7f-dec3-c9ac-7291baa4b82f,1559520000000,
,4194304,,2019-06-04 13:56:56.390,2019-06-03 15:00:03.588,6fBBpnPaJ6,com.sec.android.app.shealth,b4dc6b48-a9f7-1e12-45ad-54e8bb9abb8a,1559606400000,
,2621440,,2019-06-05 12:59:14.272,2019-06-04 15:00:19.150,6fBBpnPaJ6,com.sec.android.app.shealth,bace78ea-8560-af8d-4cdc-366270901372,1559692800000,
,8388608,,2019-06-06 14:16:07.432,2019-06-05 15:00:05.049,6fBBpnPaJ6,com.sec.android.app.shealth,e1072213-9ec5-4c9a-b2e1-89e195777d25,1559779200000,
