com.samsung.shealth.stress,6320001,9
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,2016-08-14 14:01:56.719,,,10002,,2016-08-14 14:02:23.737,2016-08-14 14:02:23.737,,,54.690754,,UTC+0900,uVwC9SChYX,,com.sec.android.app.shealth,,dea51bd3-8ef1-4c18-b8fe-345393f411ce,
,2018-09-08 13:58:26.612,f2cab220-88ab-4d09-854b-24f0cd96e4fb.custom.json,,10001,,2018-09-08 13:59:05.251,2018-09-08 13:59:05.251,,,56.0,,UTC+0900,v7IxjSR0Ie,,com.sec.android.app.shealth,,f2cab220-88ab-4d09-854b-24f0cd96e4fb,
,2018-09-08 14:02:03.819,,,10002,,2018-09-08 14:02:03.819,2018-09-08 14:02:03.819,4.0,4.0,4.0,1,UTC+0900,6fBBpnPaJ6,,com.sec.android.app.shealth,2018-09-08 14:02:03.819,bb4dc889-f0d0-7b64-8b5f-a9786ec0da99,
,2018-09-09 09:00:36.898,,,10002,,2018-09-09 09:00:36.898,2018-09-09 09:00:36.898,4.0,4.0,4.0,1,UTC+0900,6fBBpnPaJ6,,com.sec.android.app.shealth,2018-09-09 09:00:36.898,16c48e1f-14d2-a8cf-dcce-0a72321a5230,
,2018-09-09 17:44:36.490,,,10002,,2018-09-09 17:44:36.490,2018-09-09 17:44:36.490,7.0,7.0,7.0,1,UTC+0900,6fBBpnPaJ6,,com.sec.android.app.shealth,2018-09-09 17:44:36.490,1c8f1158-add0-41c5-4451-356512240634,
,2018-09-15 03:09:29.392,,,10002,,2018-09-15 03:09:29.392,2018-09-15 03:09:29.392,2.0,2.0,2.0,1,UTC+0900,6fBBpnPaJ6,,com.sec.android.app.shealth,2018-09-15 03:09:29.392,823393d9-f734-46ac-1a97-9840d74ddf08,
,2019-12-11 07:36:27.907,,,10000,,2019-12-11 07:36:27.907,2019-12-11 07:36:27.907,96.0,96.0,96.0,1,UTC+0900,eSltdGxx7w,,com.sec.android.app.shealth,2019-12-11 07:36:27.907,5d94580c-abd4-a230-94e6-9cc18b533789,
,2019-12-18 06:57:00.120,,,10000,,2019-12-18 06:57:00.120,2019-12-18 06:57:00.120,0.0,0.0,0.0,1,UTC+0900,eSltdGxx7w,,com.sec.android.app.shealth,2019-12-18 06:57:00.120,bb78aeed-2d85-249f-4431-0518efdc1d47,
,2019-12-31 03:09:41.078,,,10000,,2019-12-31 03:09:41.078,2019-12-31 03:09:41.078,1.0,1.0,1.0,1,UTC-0500,eSltdGxx7w,,com.sec.android.app.shealth,2019-12-31 03:09:41.078,111397ed-5702-f392-5cd3-3d458db0b67b,
,2020-01-02 20:24:10.613,,,10000,,2020-01-02 20:24:10.613,2020-01-02 20:24:10.613,100.0,100.0,100.0,1,UTC-0500,eSltdGxx7w,,com.sec.android.app.shealth,2020-01-02 20:24:10.613,4387beae-457b-c3fb-18e9-ead505e4b201,
