com.samsung.shealth.tracker.oxygen_saturation,6320001,5
integrated_id,source,tag_id,coverage_rate,com.samsung.health.oxygen_saturation.create_sh_ver,com.samsung.health.oxygen_saturation.start_time,com.samsung.health.oxygen_saturation.custom,com.samsung.health.oxygen_saturation.modify_sh_ver,com.samsung.health.oxygen_saturation.update_time,com.samsung.health.oxygen_saturation.create_time,com.samsung.health.oxygen_saturation.client_data_id,com.samsung.health.oxygen_saturation.low_duration,com.samsung.health.oxygen_saturation.binning,com.samsung.health.oxygen_saturation.max,com.samsung.health.oxygen_saturation.min,com.samsung.health.oxygen_saturation.spo2,com.samsung.health.oxygen_saturation.client_data_ver,com.samsung.health.oxygen_saturation.time_offset,com.samsung.health.oxygen_saturation.deviceuuid,com.samsung.health.oxygen_saturation.comment,com.samsung.health.oxygen_saturation.pkg_name,com.samsung.health.oxygen_saturation.end_time,com.samsung.health.oxygen_saturation.datauuid,com.samsung.health.oxygen_saturation.heart_rate
,60009,30000,,,2018-09-08 13:58:20.139,,,2018-09-08 13:59:05.274,2018-09-08 13:59:05.274,,,,,,100.0,,UTC+0900,v7IxjSR0Ie,,com.sec.android.app.shealth,2018-09-08 13:58:20.139,c00b2e30-8738-4480-9e53-30e6975bdc44,63.0,
,,30000,,,2018-09-19 10:19:22.413,,,2018-09-19 10:19:39.966,2018-09-19 10:19:39.966,,,,,,98.0,,UTC+0900,v7IxjSR0Ie,,com.sec.android.app.shealth,2018-09-19 10:19:26.149,7fb6f169-0e36-4ca2-bbe1-1b07e0daa52b,63.0,
,,31201,,,2018-10-11 13:15:46.617,,,2018-10-11 13:16:08.799,2018-10-11 13:16:08.799,,,,,,98.0,,UTC+0900,v7IxjSR0Ie,,com.sec.android.app.shealth,2018-10-11 13:15:49.702,e152e424-aa2e-4ad2-93e2-97c9232cdba8,81.0,
,,31301,,,2023-07-27 15:56:00.000,,,2023-07-27 22:41:07.691,2023-07-27 22:41:07.691,,919,6e1f4f1d-6a50-4d14-aa24-3e25fb6f8500.com.samsung.health.oxygen_saturation.binning.json,99.0,70.0,92.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-07-27 22:37:00.000,6e1f4f1d-6a50-4d14-aa24-3e25fb6f8500,,
,,31301,,,2023-08-03 15:20:00.000,,,2023-08-03 22:31:30.705,2023-08-03 22:31:30.705,,271,136d75bc-fee8-4a4e-8db9-dbdb38e9eaab.com.samsung.health.oxygen_saturation.binning.json,99.0,84.0,93.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-03 22:30:00.000,136d75bc-fee8-4a4e-8db9-dbdb38e9eaab,,
,,31301,,,2023-08-06 15:33:00.000,,,2023-08-06 22:40:59.351,2023-08-06 22:40:59.351,,161,808e2dd0-8db2-432b-8293-960192203e19.com.samsung.health.oxygen_saturation.binning.json,99.0,76.0,94.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-06 22:39:00.000,808e2dd0-8db2-432b-8293-960192203e19,,
,,31301,,,2023-08-07 13:56:00.000,,,2023-08-07 15:08:11.291,2023-08-07 15:08:11.291,,0,09521502-337a-43a8-8932-7ff718556b6c.com.samsung.health.oxygen_saturation.binning.json,99.0,94.0,96.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-07 14:50:00.000,09521502-337a-43a8-8932-7ff718556b6c,,
,,31301,,,2023-08-09 15:58:00.000,,,2023-08-09 16:58:57.175,2023-08-09 16:58:57.175,,1063,483eeecb-8dc2-4e55-961c-b5387582af95.com.samsung.health.oxygen_saturation.binning.json,95.0,73.0,81.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-09 16:58:00.000,483eeecb-8dc2-4e55-961c-b5387582af95,,
,,31301,,,2023-08-10 10:24:00.000,,,2023-08-10 12:59:00.396,2023-08-10 12:59:00.396,,0,b9d7f76f-10e3-4dff-85c7-34d468492613.com.samsung.health.oxygen_saturation.binning.json,99.0,91.0,95.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-10 12:52:00.000,b9d7f76f-10e3-4dff-85c7-34d468492613,,
,,31301,,,2023-08-10 16:47:00.000,,,2023-08-10 19:44:37.907,2023-08-10 19:44:37.907,,0,07ec3f14-830b-4518-a853-f31953b6dab8.com.samsung.health.oxygen_saturation.binning.json,99.0,91.0,94.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-10 19:39:00.000,07ec3f14-830b-4518-a853-f31953b6dab8,,
,,31301,,,2023-08-16 17:06:00.000,,,2023-08-16 22:50:46.080,2023-08-16 22:50:46.080,,483,554acf21-9c06-4c05-ad3f-8e898993f6f9.com.samsung.health.oxygen_saturation.binning.json,98.0,82.0,93.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-16 22:48:00.000,554acf21-9c06-4c05-ad3f-8e898993f6f9,,
,,31301,,,2023-08-18 17:05:00.000,,,2023-08-18 18:16:37.754,2023-08-18 18:16:37.754,,8,ec45a0a6-454e-43d9-b855-6506a8e68699.com.samsung.health.oxygen_saturation.binning.json,97.0,84.0,93.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-18 18:16:00.000,ec45a0a6-454e-43d9-b855-6506a8e68699,,
,,31301,,,2023-08-23 16:25:00.000,,,2023-08-23 22:31:56.566,2023-08-23 22:31:56.566,,1200,d49bce82-5728-4089-aabd-44ef2e81bd1f.com.samsung.health.oxygen_saturation.binning.json,99.0,70.0,91.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-23 22:30:00.000,d49bce82-5728-4089-aabd-44ef2e81bd1f,,
,,31000,,,2023-08-23 22:35:16.596,,,2023-08-23 22:35:16.606,2023-08-23 22:35:16.606,,,,,,97.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-08-23 22:35:16.596,41269379-914b-4e0d-90ba-a606ee59f702,75.0,
,,31301,,,2023-09-03 23:38:00.000,,,2023-09-04 01:15:57.156,2023-09-04 01:15:57.156,,0,d78cd623-9d2e-43d2-a78f-aeec25bb9bab.com.samsung.health.oxygen_saturation.binning.json,98.0,91.0,95.0,,UTC-0400,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-04 01:10:00.000,d78cd623-9d2e-43d2-a78f-aeec25bb9bab,,
,,31301,,,2023-09-04 22:10:00.000,,,2023-09-05 01:31:20.293,2023-09-05 01:31:20.293,,1914,4b91e0c5-a4c6-42bc-a35b-9112765f7d73.com.samsung.health.oxygen_saturation.binning.json,98.0,82.0,91.0,,UTC-0400,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-05 01:25:00.000,4b91e0c5-a4c6-42bc-a35b-9112765f7d73,,
,,31301,,,2023-09-05 07:35:00.000,,,2023-09-05 12:07:22.784,2023-09-05 12:07:22.784,,0,b0915e60-9de7-4da8-9534-ed11c0130465.com.samsung.health.oxygen_saturation.binning.json,99.0,91.0,94.0,,UTC-0400,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-05 11:48:00.000,b0915e60-9de7-4da8-9534-ed11c0130465,,
,,31301,,,2023-09-08 02:12:00.000,,,2023-09-08 08:39:49.348,2023-09-08 08:39:49.348,,840,d10b1a88-28d2-48e4-a009-3866aca79c51.com.samsung.health.oxygen_saturation.binning.json,99.0,75.0,91.0,,UTC-0400,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-08 08:33:00.000,d10b1a88-28d2-48e4-a009-3866aca79c51,,
,,31301,,,2023-09-08 09:27:00.000,,,2023-09-08 12:09:25.497,2023-09-08 12:09:25.497,,47,459f6387-288f-406f-8d98-d801f08eed7a.com.samsung.health.oxygen_saturation.binning.json,98.0,88.0,92.0,,UTC-0400,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-08 12:05:00.000,459f6387-288f-406f-8d98-d801f08eed7a,,
,,31301,,,2023-09-10 16:00:00.000,,,2023-09-10 18:10:33.716,2023-09-10 18:10:33.716,,165,53573929-9a99-493a-b288-fd5e37c72436.com.samsung.health.oxygen_saturation.binning.json,97.0,87.0,90.0,,UTC-0400,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-10 17:48:00.000,53573929-9a99-493a-b288-fd5e37c72436,,
,,31301,,,2023-09-11 02:02:00.000,,,2023-09-11 07:58:18.335,2023-09-11 07:58:18.335,,745,10ac003e-f532-411d-9a2a-271818f4148e.com.samsung.health.oxygen_saturation.binning.json,98.0,85.0,92.0,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-11 07:51:00.000,10ac003e-f532-411d-9a2a-271818f4148e,,
,,31301,,,2023-09-19 08:34:00.000,,,2023-09-19 12:34:56.052,2023-09-19 12:34:56.052,,48,2da309ac-1ab3-44a6-8434-bcebfaf7f428.com.samsung.health.oxygen_saturation.binning.json,98.0,88.0,92.0,,UTC-0700,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-19 11:55:00.000,2da309ac-1ab3-44a6-8434-bcebfaf7f428,,
,,31301,,,2023-09-19 14:27:00.000,,,2023-09-19 16:21:40.715,2023-09-19 16:21:40.715,,0,f6d5fc07-51cc-4aad-8300-0debedd1d63b.com.samsung.health.oxygen_saturation.binning.json,97.0,90.0,92.0,,UTC-0700,SiE8w+zjCP,,com.sec.android.app.shealth,2023-09-19 15:55:00.000,f6d5fc07-51cc-4aad-8300-0debedd1d63b,,
