com.samsung.shealth.tracker.pedometer_step_count,6320001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
11507,4,0,23,2026-03-28 19:12:00.000,,,2026-03-28 19:15:00.159,2026-03-28 19:15:00.159,23,1.6111112,18.54,1.4,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-28 19:13:00.000,0a1b176d-c7e3-4351-8e82-0512a939e492,
16696,4,0,34,2026-03-28 19:15:00.000,,,2026-03-28 19:35:00.119,2026-03-28 19:35:00.119,34,1.6111112,26.9,2.34,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-28 19:16:00.000,fd958321-c093-4997-ba88-1d33e82fa3f7,
12183,4,0,24,2026-03-28 19:16:00.000,,,2026-03-28 19:35:00.181,2026-03-28 19:35:00.181,24,1.5833334,19.29,1.46,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-28 19:17:00.000,955f6e2f-74c5-4b12-85bb-442487201a97,
12348,4,0,21,2026-03-28 23:48:00.000,,,2026-03-28 23:48:32.156,2026-03-28 23:48:30.376,21,1.2763059,15.76,0.67999995,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-28 23:49:00.000,fce74596-48b0-40cb-97cc-467826d8af0f,
10923,4,0,16,2026-03-28 23:48:00.000,,,2026-03-28 23:54:59.253,2026-03-28 23:54:59.253,16,1.0555555,11.53,1.13,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-28 23:49:00.000,7d75202d-178a-4188-8f38-e5c2143ca0e5,
15985,4,0,23,2026-03-29 00:18:00.000,,,2026-03-29 00:19:13.580,2026-03-29 00:19:13.580,23,1.0277778,16.43,0.75,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:19:00.000,4580517c-998e-41ec-9abf-98375a8d908e,
7622,4,0,18,2026-03-29 00:19:00.000,,,2026-03-29 00:19:13.617,2026-03-29 00:19:13.617,18,1.9166666,14.61,0.53,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:20:00.000,857c1ba6-e5a8-4dd8-8211-a07e3f5a2e28,
19767,4,0,32,2026-03-29 00:22:00.000,,,2026-03-29 00:30:00.942,2026-03-29 00:30:00.942,32,1.2222222,24.16,0.98,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:23:00.000,099f037e-491f-475b-b4b2-78be66e657c4,
18904,4,0,27,2026-03-29 00:26:00.000,,,2026-03-29 00:30:00.961,2026-03-29 00:30:00.961,27,1.0277778,19.43,0.89,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:27:00.000,4af2bc65-90db-4457-8708-88d8561390ca,
6832,4,0,11,2026-03-29 00:28:00.000,,,2026-03-29 00:30:01.014,2026-03-29 00:30:01.014,11,1.25,8.54,0.34,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:29:00.000,0654b21a-2af5-4d5b-aa45-393966266c48,
14030,4,0,21,2026-03-29 00:29:00.000,,,2026-03-29 00:30:01.041,2026-03-29 00:30:01.041,21,1.0833334,15.2,0.68,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:30:00.000,85643425-57ab-4411-b29e-c93f04d9cbb1,
8763,4,0,12,2026-03-29 00:30:00.000,,,2026-03-29 00:30:01.764,2026-03-29 00:30:01.764,12,0.97222227,8.52,0.4,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:31:00.000,47146921-ab6b-4886-9fc6-5185e4427546,
12593,4,0,20,2026-03-29 00:33:00.000,,,2026-03-29 00:33:16.948,2026-03-29 00:33:09.387,20,1.1736656,14.779999,0.6299999,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:34:00.000,d3ad2db0-5548-471e-81b5-f8aac13450d3,
2309,4,0,6,2026-03-29 00:34:00.000,,,2026-03-29 00:34:04.240,2026-03-29 00:34:04.240,6,6.9444437,16.04,0.99,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:35:00.000,08d6ff49-888a-486d-8f8f-7c28776cb9f3,
4644,4,0,7,2026-03-29 00:40:00.000,,,2026-03-29 00:41:58.731,2026-03-29 00:41:58.731,7,1.1111112,5.16,0.23,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:41:00.000,1b683b41-5b8e-4f38-a7b9-ee7bb33195dc,
10488,4,0,15,2026-03-29 00:48:00.000,,,2026-03-29 00:49:15.641,2026-03-29 00:49:15.641,15,1.0277778,10.78,0.49,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:49:00.000,c208775c-bb9b-426a-b1c4-f7c8d114f4a0,
5150,4,2,9,2026-03-29 00:49:00.000,,,2026-03-29 00:49:20.584,2026-03-29 00:49:15.744,11,3.3645923,17.33,0.9999999,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 00:50:00.000,4c07b610-ac59-434b-8248-ba6c80bde824,
5025,4,0,8,2026-03-29 01:02:00.000,,,2026-03-29 01:02:18.259,2026-03-29 01:02:16.231,8,1.2457138,6.2599998,0.25,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 01:03:00.000,f38b5f46-ffe0-45c7-b253-c5a0f92645a2,
16451,4,0,35,2026-03-29 01:05:00.000,,,2026-03-29 01:05:59.520,2026-03-29 01:05:58.390,35,1.6995378,27.96,1.07,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 01:06:00.000,9dc6782a-8a3e-4eee-8bd2-f4325b0e4fc1,
1786,4,0,3,2026-03-29 01:06:00.000,,,2026-03-29 01:06:00.844,2026-03-29 01:06:00.042,3,1.259124,2.25,0.089999996,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 01:07:00.000,c3b4c8fb-d355-4f15-aa1d-dcf228d6124e,
23165,4,0,33,2026-03-29 01:22:00.000,,,2026-03-29 01:26:04.326,2026-03-29 01:22:09.976,33,1.0269796,23.79,1.0299999,UTC+0900,4FEhL4nduw,com.sec.android.app.shealth,2026-03-29 01:23:00.000,1da89240-cf82-4cc0-b4a2-d52e2d048762,
6917,4,0,15,2026-03-29 00:18:00.000,,,2026-03-29 00:30:02.806,2026-03-29 00:30:02.806,15,1.8055556,12.49,0.88,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:19:00.000,a37f2dc2-c97f-4746-bd89-da11855457d2,
8137,4,0,13,2026-03-29 00:22:00.000,,,2026-03-29 00:30:03.251,2026-03-29 00:30:03.251,13,1.1944444,9.72,0.82,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:23:00.000,aeb488ac-3216-4d5c-aabe-f697dd17ab4a,
12600,4,0,16,2026-03-29 00:23:00.000,,,2026-03-29 00:30:03.518,2026-03-29 00:30:03.518,16,0.8888889,11.2,1.14,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:24:00.000,36faac0c-acfa-454b-92c0-1ca2a1f06d90,
17559,4,0,27,2026-03-29 00:26:00.000,,,2026-03-29 00:30:03.927,2026-03-29 00:30:03.927,27,1.1111112,19.51,1.92,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:27:00.000,79e42f81-d8eb-46ac-a7b6-5647b0eceaee,
5094,4,0,11,2026-03-29 00:27:00.000,,,2026-03-29 00:30:04.197,2026-03-29 00:30:04.197,11,1.8333335,9.34,0.53,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:28:00.000,7950d192-68a1-4047-a0c4-c1a644d44cdb,
12450,4,0,19,2026-03-29 00:28:00.000,,,2026-03-29 00:30:04.335,2026-03-29 00:30:04.335,19,1.1388888,14.18,1.27,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:29:00.000,ddeb001a-faf9-4899-aef2-aae45048acbc,
12075,4,0,20,2026-03-29 00:29:00.000,,,2026-03-29 00:30:04.511,2026-03-29 00:30:04.511,20,1.2777778,15.43,1.24,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:30:00.000,941b80b3-b4a6-47dc-8c2c-fefe5bafe9f7,
34114,4,0,49,2026-03-29 00:31:00.000,,,2026-03-29 00:35:00.151,2026-03-29 00:35:00.151,49,1.0555556,36.01,3.27,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:32:00.000,ccfe23f9-34e7-4c68-8136-5a0405dac471,
5313,4,0,10,2026-03-29 00:32:00.000,,,2026-03-29 00:35:00.226,2026-03-29 00:35:00.226,10,1.5,7.97,0.64,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:33:00.000,fdd5b8dc-d194-4ad8-a369-82bdc64458b7,
16341,4,0,21,2026-03-29 00:33:00.000,,,2026-03-29 00:35:00.285,2026-03-29 00:35:00.285,21,0.9166667,14.98,1.38,UTC+0900,SiE8w+zjCP,com.sec.android.app.shealth,2026-03-29 00:34:00.000,2f7f954e-496c-4241-a403-3d43d8c987ea,
