com.samsung.shealth.vitality.nap_data,6320001,1
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,vitality_day_time,deviceuuid,pkg_name,score_before,end_time,datauuid,score_after
63051050,2025-10-17 22:50:00.000,63051050,2025-10-18 07:23:05.773,2025-10-18 07:23:05.773,UTC+0900,1760745600000,4FEhL4nduw,com.sec.android.app.shealth,64.4978,2025-10-17 23:40:00.000,16fed312-fce8-4dd6-b755-80ae6c202d69,64.4978,
63051050,2025-10-18 05:00:00.000,63051050,2025-10-18 07:23:05.856,2025-10-18 07:23:05.856,UTC+0900,1760745600000,4FEhL4nduw,com.sec.android.app.shealth,64.4978,2025-10-18 07:06:00.000,91495e21-9ddb-4c12-a00a-6161259952cb,72.25677,
63051050,2025-10-26 10:29:00.000,63051050,2025-10-26 13:13:54.483,2025-10-26 13:13:54.483,UTC+0900,1761436800000,4FEhL4nduw,com.sec.android.app.shealth,68.62555,2025-10-26 13:01:00.000,81fb1cdb-a27a-459d-a980-93668900fa6a,75.760315,
63051050,2025-11-10 12:52:00.000,63051050,2025-11-10 15:05:03.112,2025-11-10 15:05:03.112,UTC+0900,1762732800000,4FEhL4nduw,com.sec.android.app.shealth,71.81572,2025-11-10 14:39:00.000,d490e912-917c-4495-931b-a38fa0668f13,75.84985,
63060070,2025-11-18 07:34:00.000,63060070,2025-11-18 09:22:01.817,2025-11-18 09:22:01.817,UTC+0900,1763424000000,4FEhL4nduw,com.sec.android.app.shealth,91.8768,2025-11-18 08:51:00.000,11b9e590-2699-439e-8435-8477989bdc21,91.8768,
63070030,2026-01-26 00:09:00.000,63070030,2026-01-26 01:38:21.076,2026-01-26 01:38:21.076,UTC+0900,1769385600000,4FEhL4nduw,com.sec.android.app.shealth,50.06182,2026-01-26 01:21:00.000,75f83748-1433-42c6-9fef-29cc44909e01,58.539528,
63070030,2026-01-31 22:13:00.000,63070030,2026-02-01 07:38:34.455,2026-02-01 07:38:34.455,UTC+0900,1769904000000,4FEhL4nduw,com.sec.android.app.shealth,44.12167,2026-02-01 01:18:30.000,6fa4bc96-0b28-4fbf-8796-8ce96b458164,52.83728,
63070030,2026-02-01 05:25:00.000,63070030,2026-02-01 07:38:34.467,2026-02-01 07:38:34.467,UTC+0900,1769904000000,4FEhL4nduw,com.sec.android.app.shealth,52.83728,2026-02-01 07:06:00.000,f8d1cba5-8da3-41fd-b7a0-572bc8770b6e,61.179077,
63070030,2026-02-11 05:17:00.000,63070030,2026-02-11 13:42:36.242,2026-02-11 13:42:36.242,UTC+0900,1770768000000,4FEhL4nduw,com.sec.android.app.shealth,62.75322,2026-02-11 06:19:00.000,d10982df-6f3d-4151-82b3-8befc7b25ba8,67.49503,
63070030,2026-02-11 12:15:00.000,63070030,2026-02-11 13:42:36.268,2026-02-11 13:42:36.268,UTC+0900,1770768000000,4FEhL4nduw,com.sec.android.app.shealth,67.49503,2026-02-11 13:17:00.000,5b26d63d-c21f-4561-a787-d6e62a15173d,67.49503,
63110130,2026-03-13 12:50:00.000,63110130,2026-03-13 14:46:17.061,2026-03-13 14:46:17.061,UTC+0900,1773360000000,4FEhL4nduw,com.sec.android.app.shealth,81.899124,2026-03-13 14:21:00.000,7ddd4530-0897-421c-bf2b-769d93c125fd,81.899124,
63130130,2026-04-16 13:01:00.000,63130130,2026-04-16 14:56:56.133,2026-04-16 14:56:56.133,UTC+0900,1776297600000,4FEhL4nduw,com.sec.android.app.shealth,75.32739,2026-04-16 14:31:00.000,89785d6c-2292-4096-8781-7761fc43db84,75.32739,
63200010,2026-04-24 22:30:00.000,63200010,2026-04-24 23:39:59.614,2026-04-24 23:39:59.614,UTC+0900,1777075200000,4FEhL4nduw,com.sec.android.app.shealth,77.33675,2026-04-24 23:30:00.000,fa55571e-c32d-4ded-ac6a-b19fe1567bac,83.8522,
